BN/Registration number:	Organization name:	Status: 	Type of qualified donee:	Effective date of status:	Sanction 	Designation: 	Charity type: 	Category: 	Address:	City:	Province, territory, outside of Canada:	Country:	Postal code/Zip code:	
896524071RR0001	AMI-QUÉBEC ALLIÉ.E.S EN SANTÉ MENTALE / AMI-QUÉBEC ALLIES IN MENTAL HEALTH	Registered	Charity	1977-12-01		0001	Other purposes beneficial to the community	0110	5800 BOUL DECARIE 	MONTREAL	QC	CA	H3X2J5
857169247RR0001	AMY'S CHILDREN HEALTH AND EDUCATIONAL CHARITY	Revoked-Voluntary	Charity	2020-01-18		0001	Other purposes beneficial to the community	0100	611 - 1130 WILSON AVE 	NORTH YORK	ON	CA	M3M1K3
130310048RR0001	ANISHNAWBE HEALTH TORONTO	Registered	Charity	1987-10-09		0001	Other purposes beneficial to the community	0100	425 CHERRY ST 	TORONTO	ON	CA	M5A0X9
888695665RR0001	ANNAPOLIS COMMUNITY HEALTH CENTRE AUXILIARY	Registered	Charity	1978-10-02		0001	Other purposes beneficial to the community	0110	821 ST GEORGE ST PO BOX 384	ANNAPOLIS ROYAL	NS	CA	B0S1A0
890997976RR0001	ANNAPOLIS WEST HEALTH FOUNDATION	Registered	Charity	1994-04-01		0002	Other purposes beneficial to the community	0210	P O BOX 242 	ANNAPOLIS	NS	CA	B0S1A0
119034049RR0001	ANTIGONISH HOME HEALTH CARE SOCIETY	Revoked-Voluntary	Charity	1998-12-05		0001	Other purposes beneficial to the community	0100	65 BEECH HILL RD 	ANTIGONISH	NS	CA	B2G2H4
890761992RR0001	ARBORG & DISTRICT HEALTH CENTRE FOUNDATION INC	Revoked-Voluntary	Charity	2012-03-31		0002	Other purposes beneficial to the community	0210	BOX 159 	ARBORG	MB	CA	R0C0A0
118788876RR0001	ARBORG AND DISTRICTS HEALTH CENTRE	Revoked-Voluntary	Charity	2000-01-22		0001	Other purposes beneficial to the community	0100	BOX 10 	ARBORG	MB	CA	R0C0A0
853446243RR0001	ARH HEALTHCARE FOUNDATION / FONDATION ARH SANTÉ	Revoked-Voluntary	Charity	2025-09-13		0002	Other purposes beneficial to the community	0210	10220-103 AVENUE NORTH WEST STANTEC TOWER, SUITE 1800	EDMONTON	AB	CA	T5J0K4
118790005RR0001	ARMSTRONG/SPALLUMCHEEN HEALTHCARE AUXILIARY	Registered	Charity	1967-01-01		0001	Other purposes beneficial to the community	0110	BOX 173 	ARMSTRONG	BC	CA	V0E1B0
873557698RR0001	ARMSTRONG, ENDERBY & SPALLUMCHEEN COMMUNITY HEALTH FOUNDATIO	Revoked-Voluntary	Charity	2002-11-02		0002	Other purposes beneficial to the community	0210	VAES HEALTH SERVICES 3800 PATTEN DRIVE	ARMSTONG	BC	CA	V0E1B2
867925133RR0001	ARMSTRONG, ENDERBY & SPALLUMCHEEN COMMUNITY HEALTH SOCIETY	Revoked-Voluntary	Charity	1999-03-06		0001	Other purposes beneficial to the community	0100	P.O. BOX 459 	ARMSTRONG	BC	CA	V0E1B0
106723331RR0001	ARROWSMITH HEALTH CARE (2011) SOCIETY	Registered	Charity	1969-05-26		0001	Relief of Poverty	0001	266B MOILLIET ST 	PARKSVILLE	BC	CA	V9P1M9
883150534RR0001	ARTISTS' HEALTH ALLIANCE	Revoked-Voluntary	Charity	2019-07-13		0001	Other purposes beneficial to the community	0210	945 HALSHAM CRT 	MISSISSAUGA	ON	CA	L5J4T9
889034542RR0001	ASSOCIATION A VOTRE SANTE INC TO YOUR HEALTH ASSOCIATION IN	Revoked-Failure to File	Charity	2002-03-02		0001	Other purposes beneficial to the community	0100	CP 1000 STATION PLACE DU PARC 	MONTREAL	QC	CA	H2W2N1
118793819RR0001	ASSOCIATION FOR ACTION ON SMOKING AND HEALTH (A.A.S.H.)	Registered	Charity	1979-04-01		0001	Other purposes beneficial to the community	0160	PO BOX 52117 RPO GARNEAU 	EDMONTON	AB	CA	T6G2T5
118794551RR0001	ASSOCIATION OF UNIVERSITY PROGRAMS IN HEALTH ADMINISTRATION (CANADA) INCORPORATED	Revoked-Failure to File	Charity	1993-03-20		0001	Other purposes beneficial to the community	0190	FAC ADMIN 136 JEAN JACQUES 	OTTAWA	ON	CA	K1N6N5
130827744RR0001	ASSOCIATION OF VOLUNTEERS QUEEN STREET MENTAL HEALTH CENTRE	Revoked-Voluntary	Charity	2000-03-18		0001	Other purposes beneficial to the community	0110	1001 QUEEN ST WEST 	TORONTO	ON	CA	M6J1H4
867336026RR0001	ATHABASCA HEALTH-CARE AUXILIARY ASSOCIATION	Registered	Charity	1999-02-04		0001	Other purposes beneficial to the community	0110	3100-48 AVENUE 	ATHABASCA	AB	CA	T9S1M9
118795772RR0001	ATHENS DISTRICT HEALTH SERVICE CENTRE	Registered	Charity	1974-08-16		0001	Other purposes beneficial to the community	0100	P.O. BOX 448 	ATHENS	ON	CA	K0E1B0
118797141RR0001	AUXILIARY TO FOUR COUNTIES HEALTH SERVICES	Registered	Charity	1979-01-01		0001	Other purposes beneficial to the community	0210	1824 CONCESSION DRIVE 	NEWBURY	ON	CA	N0L1Z0
888930591RR0001	AUXILIARY TO LAKERIDGE HEALTH PORT PERRY	Registered	Charity	1979-11-01		0001	Other purposes beneficial to the community	0110	451 PAXTON ST 	PORT PERRY	ON	CA	L9L1L9
119459725RR0001	AUXILIARY TO RIDGE MEADOWS HOSPITAL & HEALTH CARE CENTRE	Revoked-Voluntary	Charity	2024-02-24		0001	Other purposes beneficial to the community	0110	22377 DEWDNEY TRUNK RD 	MAPLE RIDGE	BC	CA	V2X3J4
864494844RR0001	AUXILIARY TO SOUTHLAKE REGIONAL HEALTH CENTRE	Revoked-Voluntary	Charity	2006-09-23		0001	Other purposes beneficial to the community	0110	WILSON VUKELICH LLP 60 COLUMBIA WAY, SUITE 710	MARKHAM	ON	CA	L3R0C9
130642440RR0001	AVI Health & Community Services Society	Registered	Charity	1986-10-01		0001	Other purposes beneficial to the community	0100	3RD FLOOR-713 JOHNSON STREET 	VICTORIA	BC	CA	V8W1M8
820867497RR0001	AWHSS African Women's Health Services Society	Registered	Charity	2014-04-09		0001	Other purposes beneficial to the community	0100	1705 - 511 ROCHESTER AVE 	COQUITLAM	BC	CA	V3K0A2
892245895RR0001	B C MULTICULTURAL HEALTH SERVICES SOCIETY	Revoked-Voluntary	Charity	2018-04-28		0001	Other purposes beneficial to the community	0110	48 SIXTH ST 	NEW WESTMINSTER	BC	CA	V3L2Z2
866771207RR0001	B.C. ARTISTS IN HEALTHCARE SOCIETY	Registered	Charity	2004-09-14		0001	Other purposes beneficial to the community	0110	#1001-1415 PARKWAY BLVD 	COQUITLAM	BC	CA	V3E0C7
892877366RR0001	B.C. MENTAL HEALTH FOUNDATION	Registered	Charity	1991-10-29		0002	Other purposes beneficial to the community	0210	200 - 1333 BROADWAY W 	VANCOUVER	BC	CA	V6H4C1
871962841RR0001	Baker Centre Health Care Foundation	Registered	Charity	1997-12-31		0002	Other purposes beneficial to the community	0110	1 NORTHWESTERN AVENUE 	TORONTO	ON	CA	M6M2J7
754006070RR0001	Bancroft Community Health Care Fund	Revoked-Voluntary	Charity	2025-09-13		0003	Other purposes beneficial to the community	0210	19 OAK STREET GD	BANCROFT	ON	CA	K0L1C0
842921165RR0001	Bancroft Family Health Team	Registered	Charity	2009-01-30		0001	Other purposes beneficial to the community	0100	19 OAK ST BOX 1089	BANCROFT	ON	CA	K0L1C0
756382115RR0001	Bella Coola HealthCare Auxiliary	Registered	Charity	2018-03-28		0001	Other purposes beneficial to the community	0110	PO BOX 714 	BELLA COOLA	BC	CA	V0T1C0
851501627RR0001	Belleville and Quinte West Community Health Centre	Registered	Charity	2011-08-29		0001	Other purposes beneficial to the community	0100	161 BRIDGE ST W 	BELLEVILLE	ON	CA	K8P1K2
869019133RR0001	Bennett and Albert County Health Care Foundation Inc.	Registered	Charity	1999-07-14		0002	Other purposes beneficial to the community	0210	8 FORESTDALE RD 	RIVERSIDE-ALBERT	NB	CA	E4H3Y7
822605135RR0001	Better Tomorrow Health Foundation	Registered	Charity	2013-06-17		0001	Other purposes beneficial to the community	0110	36 MARACA DR 	RICHMOND HILL	ON	CA	L4S0A3
791205149RR0001	BeMorr Society Mental Health and Suicide Awareness	Registered	Charity	2022-06-29		0001	Other purposes beneficial to the community	0100	4246 OLD CLAYBURN RD 	ABBOTSFORD	BC	CA	V3G1L5
837095108RR0001	Biggar and District Health Services Foundation Inc.	Registered	Charity	2012-04-27		0002	Other purposes beneficial to the community	0210	PO BOX 1003 	BIGGAR	SK	CA	S0K0M0
861541217RR0001	Bigstone Community Health Society	Revoked-Failure to File	Charity	2025-09-20		0001	Other purposes beneficial to the community	0110	BOX 1020 	WABASCA	AB	CA	T0G2K0
839404688RR0001	Black Community Health Initiative Centre	Revoked-Voluntary	Charity	2014-07-12		0001	Other purposes beneficial to the community	0100	1362 RUSHWOOD CRESCENT 	LASALLE	ON	CA	N9H0B7
815175674RR0001	Black Health Alliance	Registered	Charity	2012-04-26		0001	Other purposes beneficial to the community	0110	112 - 192 SPADINA AVE 	TORONTO	ON	CA	M5T2C2
774545610RR0001	Blenheim Medical Health Foundation	Registered	Charity	2023-07-05		0003	Other purposes beneficial to the community	0210	2 HYLAND DR 	BLENHEIM	ON	CA	N0P1A0
718918824RR0001	Blossom Health Foundation	Registered	Charity	2025-11-26		0003	Other purposes beneficial to the community	0130	25 HANNON CRES 	HANNON	ON	CA	L0R1P0
850210014RR0001	Bluewater Area Family Health Team	Registered	Charity	2015-10-09		0001	Other purposes beneficial to the community	0100	6 GOSHEN STREET SOUTH BOX 98	ZURICH	ON	CA	N0M2T0
106806979RR0001	Board of Health for the Grand Erie Health Unit	Registered	Charity	1995-01-01		0001	Other purposes beneficial to the community	0110	194 TERRACE HILL ST 	BRANTFORD	ON	CA	N3R1G7
107836694RR0001	Board of Health for the Huron Perth Health Unit	Registered	Charity	1992-01-01		0001	Other purposes beneficial to the community	0100	653 WEST GORE 	STRATFORD	ON	CA	N5A1L4
707675492RR0001	Bowen Island Health Centre Foundation	Registered	Charity	2018-01-01		0001	Other purposes beneficial to the community	0100	1037 MILLER ROAD 	BOWEN ISLAND	BC	CA	V0N1G1
839003175RR0001	Bridge to Health Medical and Dental	Registered	Charity	2015-08-07		0001	Other purposes beneficial to the community	0110	1015 - 10 CAPREOL CRT 	TORONTO	ON	CA	M5V4B3
124052507RR0001	Brightshores Health System Owen Sound Foundation	Registered	Charity	1982-03-22		0002	Other purposes beneficial to the community	0210	PO BOX 1001 1800 8TH STREET EAST	OWEN SOUND	ON	CA	N4K6H6
889599825RR0001	Brightshores Health System Saugeen Shores Hospital Foundation	Registered	Charity	1998-07-16		0002	Other purposes beneficial to the community	0210	340 HIGH STREET 	SOUTHAMPTON	ON	CA	N0H2L0
812632628RR0001	Broadview District Health Foundation	Registered	Charity	2009-03-10		0002	Other purposes beneficial to the community	0210	BOX 849 	BROADVIEW	SK	CA	S0G0K0
844733618RR0001	Brock Community Health Centre	Registered	Charity	2016-11-14		0001	Other purposes beneficial to the community	0100	720 SIMCOE ST, PO BOX 279 	BEAVERTON	ON	CA	L0K1A0
804357903RR0001	Bulkley Valley Health Care and Hospital Foundation	Registered	Charity	2013-08-01		0002	Other purposes beneficial to the community	0210	PO BOX 551 	SMITHERS	BC	CA	V0J2N0
118812874RR0001	BAFFIN REGIONAL HEALTH AND SOCIAL SERVICES BOARD	Revoked-Failure to File	Charity	2001-05-05		0001	Other purposes beneficial to the community	0110	PO BAG 200 	IQALUIT	NU	CA	X0A0H0
